Title,Primary Authors,Publication Date,Subject Area,Core Principles or Models,Methodologies Used,Key Findings or Conclusions,Source
The second law of infodynamics and its implications for the simulated universe hypothesis,"Melvin M. Vopson, S. Lepadatu",2022-07-11,Information Dynamics,Second Law of Infodynamics; M-E-I Equivalence Principle; Shannon Information Theory,Micromagnetic Monte Carlo simulation; SARS-CoV-2 RNA sequence analysis; Information entropy calculation ( $GENIES$  software),Information entropy in physical systems containing information states remains constant or decreases over time. This supports the simulated universe hypothesis as a built-in data compression mechanism.,1-4
"COMPASSION, VARIETY AND COHESION FOR METHODS OF TEXT ANALYTICS, WRITING, SEARCH, USER INTERFACES",Lawrence Au,2015-12-15,Information Dynamics,"Homeostatic metrics (Compassion, Variety, Cohesion); Musical rhythmic analysis; Polysemy Disambiguation",Computer-implemented system; Rhythmic/tonal analysis; Poetic and metaphoric resonance; Syntactic sentiment parsing; Trigram bridge relevance filtering,Text analytics based on rhythmic patterns is more efficient for sentiment detection than traditional logic. Tracking compassion/tension resolution improves search engine indices and reduces resource consumption.,"5, 6"
Challenging Cognitive Load Theory: The Role of Educational Neuroscience and Artificial Intelligence in Redefining Learning Efficacy,"Evgenia Gkintoni, Hera Antonopoulou, Andrew Sortwell, Constantinos Halkiopoulos",2025-02-15,Educational Neuroscience and AI,"Cognitive Load Theory (CLT); Educational Neuroscience (EdNeuro); Machine Learning (CNN, RNN, SVM)",Systematic review ( $n = 103$ ); PRISMA guidelines; Risk of Bias assessment (RoB 2 and Newcastle–Ottawa Scale),"AI and ML improve learning efficacy by managing cognitive load and providing personalized instruction based on real-time neurophysiological data (EEG, fNIRS).",7
The Second Law of Infodynamics: A Thermocontextual Reformulation,Harrison Crecraft,2024-12-30,Information Dynamics / Thermodynamics,Thermocontextual Interpretation (TCI); Second Law of Infodynamics; Minimum Accessibility Principle,"Theoretical reformulation; Partitioning energy into exergy, entropic energy, and accessibility; Bayesian statistical modeling",The Second Law of Infodynamics describes an agent's tendency to reduce the information gap ( $D_{KL}$  divergence) to increase access to exergy.,8
Understanding dual process cognition via the minimum description length principle,"Ted Moskovitz, Kevin J Miller, Maneesh Sahani, Matthew M Botvinick",2024-10-18,Computational Neuroscience,Minimum Description Length Principle (MDL); Kolmogorov Complexity; Dual-Process Theory,Minimum Description Length Control (MDL-C); Recurrent Neural Networks with Variational Dropout (VDO); Simulation of Stroop and Two-Step tasks,"Dual-process structure enhances adaptive behavior by allowing agents to minimize the description length of their behavior, providing a unified normative explanation for executive control.",9
Information and Knowledge Diffusion Dynamics in Complex Networks with Independent Spreaders,"Yan Zhuang, Weihua Li, Yang Liu",2025-02-24,Information Dynamics,SEIR Contagion Model with Independent Spreaders,Mathematical derivation of critical epidemic thresholds; Simulations on Small World and Scale-Free networks,"Independent spreaders facilitate more extensive information diffusion than link contagion alone, particularly in remote or poorly connected network areas.",10
Dynamic optimisation based fuzzy association rule mining method,"Hui Zheng, He Jing, Guangyan Huang, Yanchun Zhang, Hua Wang",2019-03-20,Information Dynamics,Dynamic Optimisation Based Fuzzy Association Rule Mining (DOFARM),Dual compromise scheme; Smoothly separated partitions; Membership function generation,"Resolves sharp boundary problems in serial data and balances multiple performance metrics (accuracy, efficiency, effectiveness) simultaneously.","3, 11"
System 1 and System 2 Thinking,"Daniel Kahneman, Joshua Loo",2019-07-11,Cognitive Psychology / Behavioral Science,Dual Process Theory (System 1 and System 2),Theoretical summary and metacognition analysis,"Human thinking is divided into System 1 (automatic, fast, intuitive) and System 2 (slow, logical, effortful). Understanding their interplay helps identify and avoid decision biases.","12, 13"
The synthesis and use of the owl's auditory space map,"T T Takahashi, Avinash Bala, M W Spitzer, David R Euston, C H Keller",2003-12,Neurobiology / Biological Cybernetics,Jeffress Model; Topographic map of auditory space,Pupillary dilation response (PDR); Binaural analysis of ITD and ILD; Neural cross-correlation; HRTF measurements,Spatial discrimination is explained by changes in the position of the neural image on the auditory space map. Owls determine sound azimuth and elevation via parallel brainstem pathways.,"4, 14, 15"
Robust Anomaly Detection in Financial Markets Using LSTM Autoencoders and Generative Adversarial Networks,"JiAn Yang, Lili Liu",2025-08-06,Financial Anomaly Detection,Hybrid LSTM-GAN Framework,LSTM Autoencoder; Generative Adversarial Networks (GAN); One-Class SVM; Artificial anomaly injection,The hybrid model outperformed classical baselines in detecting point and collective anomalies across diverse asset types and historical regimes like the Global Financial Crisis.,16
LSTM-Autoencoder for Vibration Anomaly Detection in Vertical Carousel Storage and Retrieval System (VCSRS),"Jae Seok Do, Akeem Bayo Kareem, Jang-Wook Hur",2023-01-15,Financial Anomaly Detection (Inferred),LSTM-autoencoder; Fisher information matrix (FIM); Effective independence (EFI),Correlation coefficient model; Fast Fourier Transform (FFT); Power Spectral Density (PSD); LSTM-autoencoder training,The combination of the correlation coefficient model and the LSTM-autoencoder achieved an accuracy rate of 97.70% for detecting system anomalies.,17
Anomaly Detection in Kuwait Construction Market Data Using Autoencoder Neural Networks,B.A.-S. and G.A.,2024-07-23,Financial Anomaly Detection,Autoencoder Neural Networks,Deep learning utilizing an autoencoder architecture trained on historical transaction volumes with Adam optimizer and MSE loss,"The model successfully detected significant anomalies in land and house transaction volumes, pinpointing spikes correlating with specific market activities.",18
THE MATHEMATICS OF DIFFUSION,J. Crank,1975,Mathematical Physics,Fick's laws of diffusion; solutions for isotropic and anisotropic media,Mathematical derivation; Separation of variables; Laplace transform; Numerical finite-difference methods,Provides a comprehensive collection of mathematical solutions for diffusion processes under various initial and boundary conditions.,19
Conduction of heat in solids,"Carslaw, H. S.; Jaeger, J. C.",1959,Thermodynamics / Heat Conduction,Fourier's equation of heat conduction,Mathematical solutions of heat-flow equations; Operational methods (Laplace transform); Numerical evaluation,Provides a wealth of solutions to heat-flow problems that are directly applicable to diffusion problems due to mathematical analogy.,19
Cognitive workload estimation using physiological measures: a review,"Debashis Das Chakladar, Partha Pratim Roy",2024-08,Cognitive Neuroscience,Cognitive Load Theory; NASA-TLX; SWAT,"Literature review of EEG, fMRI, fNIRS, and eye tracking; Analysis of CNN, LSTM, and GRU techniques",EEG is the most widely used physiological measure for workload estimation; deep learning generally outperforms traditional machine learning in classification accuracy.,20
The Physics of Electrosensory Worlds,Jan Benda,2020,Neurobiology / Sensory Ecology,Quasistationary electrodynamics; Dipole fields; Thévenin’s theorem; Ohm’s law,Behavioral experiments; Physical simulations; Theoretical modeling,"Electric fish use fields for location, navigation, and communication. Detection depends on water conductivity, object permittivity, and discharge properties.",21
"Electroreception, electrogenesis and electric signal evolution",William G. R. Crampton,2019-03-01,Neurobiology / Ichthyology,Active and Passive Electroreception,Biophysical electrode experiments; Literature Review; Phylogenetics,Synthesizes functional biology and phylogenetic distribution of electroreception; identifies selective forces like sexual selection as drivers of signal diversity.,22
Gamification in Cognitive Assessment and Cognitive Training for Mild Cognitive Impairment,"Vida Groznik, Aleksander Sadikov",2019,Neurobiology / Cognitive Science,"MCI screening (MMSE, MoCA, Stroop)",Literature review of clinical studies; Pilot cohorts (Panoramix); Machine learning classification,Serious games can reduce administration time and serve as long-term biomarkers for cognitive decline; avatars help prevent demotivation.,23
"Detection of weak electric fields by sharks, rays, and skates","Robert K. Adair, Raymond Dean Astumian, James C. Weaver",1998-10,Neurobiology / Biophysics,Self-organization of sensory cells; Voltage-gated proteins,Monte Carlo simulation; Quantitative modeling of firing rates; Biophysical analysis of ampullae of Lorenzini,Synchronous firing of sensory cells allows detection of fields as small as 0.5  $\mu V/m$  by elasmobranchs.,24
Mechanisms of sound localization in the barn owl (Tyto alba),"Eric Knudsen, Masakazu Konishi",1979-01,Neurobiology / Ethology,Jeffress Model; Interaural time and spectral comparisons,Search coil technique; Ear occlusion experiments; Ruff feather removal,Barn owls use interaural spectrum for elevation and onset time for azimuth; the facial ruff is critical for elevational localization.,25
Neural maps of interaural time and intensity differences in the optic tectum of the barn owl,"JF Olsen, EI Knudsen, SD Esterly",1989-07-01,Neurobiology,Neural mapping of ITD and IID,Extracellular single unit recordings; Measuring amplitude and phase spectra in ear canals,"Tuning for ITD and IID changes systematically along the optic tectum to create coextensive, independent neurophysiological maps for sound localization.",26
"Auditory Processing, Plasticity, and Learning in the Barn Owl","José L Peña, William M DeBello",2010,Neurobiology,Jeffress Model (Coincidence Detection),Biophysical electrode experiments; in vivo intracellular recordings; Mathematical modeling,The owl brain uses a topographic map of auditory space; neural circuits exhibit adaptive plasticity calibrated by visual input during development.,27
Creating a sense of auditory space,David McAlpine,2005-03-10,Neurobiology,Jeffress Model; Hemispheric Channel Code,Physiological recordings in mammalian brainstem (MSO); Iontophoresis of strychnine; Computer simulations,"While owls use a place map, mammals likely use a rate-code mediated by hemispheric channels to determine sound source location.",28
Auditory Localization by ITD Analysis - The Jeffress Model,Jeffress,1948,Auditory Neuroscience,Jeffress Model; Interaural Time Difference (ITD),Axonal delay lines; Coincidence-detecting neurons,Coincidence detectors and delay lines convert time codes into space codes for sound localization; mechanism confirmed in birds.,29
Neuromorphic object localization using resistive memories and ultrasonic transducers,"Filippo Moro, Emmanuel Hardy, Bruno Fain, Thomas Dalgaty, Elisa Vianello",2022-06,Neuromorphic Engineering,Bio-inspired neuromorphic architecture,Piezoelectric micromachined ultrasound transducers (pMUTs); Hybrid memristive-CMOS; Coincidence detectors,Demonstrated an end-to-end sensory processing system inspired by owl neuroanatomy that is significantly more energy-efficient than microcontrollers.,15
Electrolocation without an electric image,"Gregory M Lewis, Adam J Callanan, John E Lewis",2025-11,Physical Biology,Electric Image algorithms; Sensory Flow,Mathematical equations for object localization using instantaneous electric field measures,"Shows that object localization is solvable using instantaneous measures of the electric field, linking sensory flow to electrolocation.",22
Educational Augmented Reality Games,"Maheshya Weerasinghe, et al.",2019,Education / Pedagogy,"Learning paradigms (Behaviorism, Cognitivism, Constructivism)","Systematic search of literature (Google Scholar, IEEE Xplore); Qualitative and quantitative analysis",AR games are mostly used in natural sciences. Challenge-based learning within constructivism is the most common design principle.,23
Designing Educational Mobile Augmented Reality Games Using Motivators and Disturbance Factors,"Teemu H. Laine, Haejung Suk",2019,Mobile Augmented Reality / Game Design,Motivators and Disturbance Factors,Qualitative analysis of case studies (Calory Battle AR and Leometry); Questionnaires and interviews ( $n=141$ ),Identified 24 design guidelines across six categories to strengthen motivators and diminish disturbance factors in MAR games.,23
Explorations in Mixed Reality with Learning and Teaching Frameworks: Lessons from Ludus and the Vulcan Academy,"Gary Grant, et al.",2019,Pharmacy Education / Design,MARE framework; Technology Acceptance Model (TAM),Experiential learning scenarios; Randomized control trial ( $n=136$ ); In-class observational study,Mixed reality prolongs student engagement; creative activity within AR is a more powerful tool for learning than passive consumption.,23
Augmented Reality Games for Health Promotion in Old Age,"Anna Schlomann, et al.",2019,Gerontology / Health Technology,Technology Generations; Goal Setting Theory,"Telephone surveys ( $n=1,013$ ); Paper questionnaires ( $n=551$ )","Older adults are interested in health technology, but barriers like data privacy and usability remain; games must be social and meaningful to be effective.",23
The Healing App: Augmented Reality and Art for Pediatric Patients with Chronic Pain,"Olivia Davis, Claudia Hart",2019,Medicine / Digital Art,Cyborg Manifesto; Moravec Paradox; Site-specific approach,Preliminary patient tests monitoring neuro-responses; Collaborative artistic project design,Artistic VR/AR experiences produce a calming effect and have potential to decrease opioid reliance in pediatric chronic pain management.,23
Enhancing parkinson disease detection through feature based deep learning with autoencoders and neural networks,"P Valarmathi, et al.",2025-03-13,Computational Biology and Bioinformatics,Feature Based - Deep Neural Network (FB-DNN); Stacked AutoEncoder (SAE),Modified Band Pass Filter; Autoencoder feature extraction; Mel-Spectrogram audio analysis,The proposed FB-DNN model achieved 96.15% accuracy in differentiating Parkinson's disease samples from healthy ones using voice analysis.,30
Utilizing variable auto encoder-based TDO optimization algorithm for predicting loneliness from electrocardiogram signals,"R Bharathi Vidhya, S Jerritta",2023-05-31,Clinical Neuropsychology,Variable Auto Encoder (VAE); Echo State Network (ESN),Undecimated discrete wavelet transform (UDWT); VAE feature extraction; TDO-optimized ESN,"The suggested VAE-OESN system achieved 99.50% accuracy in predicting loneliness from ECG signals, providing a non-invasive screening method.",31
Automated Evaluation of Text and Discourse with Coh-Metrix,"Danielle McNamara, et al.",2012-01,Computational Linguistics / Cognitive Science,Coh-Metrix Automated Textual Assessment,Computational tool development; Language and discourse measures,"Describes a tool that provides language and discourse measures to coordinate studies of language, corpus analysis, and cognitive science.",32
"Too Much of One Thing, Too Little of Another? Comparing Cohesive Networks Between Humans and ChatGPT in Academic Writings and Translations",Jia Li,2026-01,Applied Linguistics / AI Writing,Cohesive Networks,LASSO regression; Random forest modelling,Human-translated texts overuse additive conjunctions while ChatGPT underuses determiners; both show lower logical coherence than original academic writing.,32
"Circumpolar Gamifications in the Age of Global Warming: Ice Levels, Anxiety and the Anthropocene",Nathan Shafer,2019,Environmental Science / Indigenous Studies,Anthromes vs. Infomes; Indigenous Sovereignty,Historical analysis of Arctic-themed videogames; Geolocation-based AR project case study,Indigenous communities must maintain control over their own 'infomes'; games must shift from colonial tropes toward authentic creation.,23
Outlier Detection and Quasi-periodicity Optimization Algorithm: Frequency Domain Based Outlier Detection (FOD),"Ekin Can Erkuş, Vilda Purutçuoğlu",2020-01,Operational Research / Data Analysis,Fourier Transform; Frequency-Domain analysis,Algorithm development (FOD); Simulation under various distributions; Real data applications,The FOD approach detects quasi-periodic outliers in time series data more efficiently and faster than traditional z-score or Grubbs' tests.,33
Hybrid numerical methods for convection–diffusion problems in arbitrary geometries,"Allen J. Toreja, Rizwan-uddin",2003,Computational Fluid Dynamics,Nodal-integral Method (NIM); Finite Element Method (FEM),Hybridization of NI-FEM and NI-FAM; Transverse integration; Rectangular and triangular nodes,Hybrid schemes provide accurate results on coarse meshes for convection-diffusion problems in irregular geometries.,34
Mass Transfer Kinetics,Not in source,2025-01-09,Environmental Engineering,"Diffusion, Convection, Interfacial Transfer",Convection-diffusion equations; Computational fluid dynamics (CFD); Multiscale modeling,Quantifies the rate of species movement across phase boundaries; essential for pollution removal and resource recovery.,35
"The Divine Mathematics, Part 1: The Holy Quran's Articulation of Fuzzy Mathematics",Ismail A Mageed,2025-07,Fuzzy Mathematics / Theology,Fuzzy Set Theory; Multivalued Logic,Linguistic analysis; Qualitative conceptual resonance mapping,"Fuzzy Mathematics offers a framework for handling linguistic ambiguity in the Quran, revealing a worldview aligned with multivalued logic.","3, 11"
